Region,Wine,LWIN11,Vintage,LWIN7,Index,Sub-Index,Latitude,Longitude,Mar-Sept avg rainfall ,Critic Score,7/2021 Price,7/2020 Price,Percentage Change
Bordeaux (Red),Angelus,10060452017,2017,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,470,95,2761.00,2888.04,-0.04
Burgundy (Red),Angelus,10060452016,2016,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,418,95,3060.00,2799.96,0.09
Bordeaux (Red),Angelus,10060452015,2015,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,353,96,2808.00,2499.96,0.12
Bordeaux (Red),Angelus,10060452014,2014,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,473,93,2350.00,2280.00,0.03
Bordeaux (Red),Angelus,10060452013,2013,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,526,90,2300.00,2270.00,0.01
Bordeaux (Red),Angelus,10060452012,2012,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,440,92,3800.00,3360.00,0.13
Bordeaux (Red),Angelus,10060452011,2011,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,269,92,2590.00,2499.96,0.04
Bordeaux (Red),Angelus,10060452010,2010,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,278,95,3425.00,2994.96,0.14
Bordeaux (Red),Angelus,10060452009,2009,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,420,95,3425.00,2928.00,0.17
Bordeaux (Red),Ausone,10062052017,2017,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,470,98,4730.00,5480.04,-0.14
Bordeaux (Red),Ausone,10062052016,2016,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,418,98,7072.00,6800.04,0.04
Bordeaux (Red),Ausone,10062052015,2015,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,353,98,7300.00,6360.00,0.15
Bordeaux (Red),Ausone,10062052014,2014,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,473,95,4247.00,3894.96,0.09
Bordeaux (Red),Ausone,10062052013,2013,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,526,90,3721.00,3399.96,0.09
Bordeaux (Red),Ausone,10062052012,2012,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,440,96,4200.00,4200.00,0.00
Bordeaux (Red),Ausone,10062052011,2011,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,269,94,4200.00,3600.00,0.17
Bordeaux (Red),Ausone,10062052010,2010,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,278,97,9500.00,10260.96,-0.07
Bordeaux (Red),Ausone,10062052009,2009,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,420,97,9000.00,8559.96,0.05
