Region,Wine,LWIN11,Vintage,LWIN7,Index,Sub-Index,Latitude,Longitude,Mar-Sept avg rainfall ,Critic Score
Bordeaux (Red),Angelus,10060452017,2017,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,470,
Burgundy (Red),Angelus,10060452016,2016,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,418,
Bordeaux (Red),Angelus,10060452015,2015,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,353,
Bordeaux (Red),Angelus,10060452014,2014,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,473,
Bordeaux (Red),Angelus,10060452013,2013,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,526,
Bordeaux (Red),Angelus,10060452012,2012,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,440,
Bordeaux (Red),Angelus,10060452011,2011,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,269,
Bordeaux (Red),Angelus,10060452010,2010,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,278,
Bordeaux (Red),Angelus,10060452009,2009,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,420,
Bordeaux (Red),Angelus,10060452008,2008,1006045,Bordeaux 500,Right Bank 100,44.8928817,-0.1704865,,
Bordeaux (Red),Angelus,10060452000,2000,1006045,Bordeaux Legends 40,Bordeaux Legends ,,,,
Burgundy (red),"Armand Rousseau, Chambertin",10570052018,2018,1057005,Burgundy150,Red Burgundy ,,,,
Burgundy (red),"Armand Rousseau, Chambertin",10570052017,2017,1057005,Burgundy150,Red Burgundy ,,,,
Burgundy (red),"Armand Rousseau, Chambertin",10570052016,2016,1057005,Burgundy150,Red Burgundy ,,,,
Burgundy (red),"Armand Rousseau, Chambertin",10570052015,2015,1057005,Burgundy150,Red Burgundy ,,,,
Burgundy (red),"Armand Rousseau, Chambertin",10570052014,2014,1057005,Burgundy150,Red Burgundy ,,,,
Burgundy (red),"Armand Rousseau, Chambertin",10570052013,2013,1057005,Burgundy150,Red Burgundy ,,,,
Burgundy (red),"Armand Rousseau, Chambertin",10570052012,2012,1057005,Burgundy150,Red Burgundy ,,,,
Burgundy (red),"Armand Rousseau, Chambertin",10570052011,2011,1057005,Burgundy150,Red Burgundy ,,,,
Burgundy (red),"Armand Rousseau, Chambertin",10570052010,2010,1057005,Burgundy150,Red Burgundy ,,,,
Burgundy (red),"Armand Rousseau, Chambertin",10570052009,2009,1057005,Burgundy150,Red Burgundy ,,,,
Bordeaux (Red),Ausone,10062052017,2017,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,470,
Bordeaux (Red),Ausone,10062052016,2016,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,418,
Bordeaux (Red),Ausone,10062052015,2015,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,353,
Bordeaux (Red),Ausone,10062052014,2014,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,473,
Bordeaux (Red),Ausone,10062052013,2013,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,526,
Bordeaux (Red),Ausone,10062052012,2012,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,440,
Bordeaux (Red),Ausone,10062052011,2011,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,269,
Bordeaux (Red),Ausone,10062052010,2010,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,278,
Bordeaux (Red),Ausone,10062052009,2009,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,420,
Bordeaux (Red),Ausone,10062052008,2008,1006205,Bordeaux 500,Right Bank 50,44.8888,0.1569,,
Bordeaux (Red),Ausone,10062052000,2000,1006205,Bordeaux Legends 40,Bordeaux Legends ,,,,
Bordeaux (Red),Ausone,10062051998,1998,1006205,Bordeaux Legends 40,Bordeaux Legends ,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape",11083872018,2018,1108387,Rhone 100,Southern Rhone 50,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape",11083872017,2017,1108387,Rhone 100,Southern Rhone 50,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape",11083872016,2016,1108387,Rhone 100,Southern Rhone 50,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape",11083872015,2015,1108387,Rhone 100,Southern Rhone 50,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape",11083872014,2014,1108387,Rhone 100,Southern Rhone 50,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape",11083872013,2013,1108387,Rhone 100,Southern Rhone 50,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape",11083872012,2012,1108387,Rhone 100,Southern Rhone 50,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape",11083872011,2011,1108387,Rhone 100,Southern Rhone 50,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape",11083872010,2010,1108387,Rhone 100,Southern Rhone 50,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape",11083872009,2009,1108387,Rhone 100,Southern Rhone 50,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape Hommage J Perrin",11084042018,2018,1108404,Rhone 100,Southern Rhone 50,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape Hommage J Perrin",11084042017,2017,1108404,Rhone 100,Southern Rhone 50,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape Hommage J Perrin",11084042016,2016,1108404,Rhone 100,Southern Rhone 50,,,,
Rhone,"Beaucastel, Chateauneuf Du Pape Hommage J Perrin",11084042015,2015,1108404,Rhone 100,Southern Rhone 50,,,,
